name,description,no_teams_per_match,no_players_per_teams,game_id
5v5,Two teams of 5 players try to destroy the opponents Ancient by forcing their way through the enemy's line.,2,5,0
6v6,Two teams of 6 players try to defeat the opponent in a mix of game modes ranging from hill control to payload pushing.,2,6,1
Squad FPP,"SQUAD, a game mode where you can team up in groups of 2, 3 or 4 players, or if you prefer, you can still play solo and take on everyone alone in the match.Squad FPP is based around your normal Squad game mode but instead of being in 3rd person this is strictly in 1st person.",25,4,2
1v1,Two opponents try to destroy all the other's buildings or army.,2,2,3
5v5,Two teams of 5 players try to defeat their enemy by killing them or winning multiple team mini-games happening on the map.,2,5,4
Site control,The terrorists side tries to gain control of a bomb plant site to plant said bomb while counter-terrorist try to guard the sites or defuse the bomb. Each side can kill all enemy's to win the round.,2,5,5
3v3,Two teams of 3 try to score as many points in the opponent's goal. Think soccer but with cars!,2,3,6
1v1,Two opponents try to score as many points in the opponent's goal. Think soccer but with cars!,2,2,6
5v5,Two teams of 5 players try to destroy the opponents Nexus by forcing their way through the enemy's line.,2,5,7
1v1,Two opponents try to destroy all the other's buildings or army.,2,2,8
Gkjiow,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,19,10,80
Udklbp,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",6,2,93
Tptrqb,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",9,5,114
Xeslkr,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.",19,4,126
Gwudop,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",10,5,28
Hddznm,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",19,6,76
Owjcvj,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",20,2,101
Naarwz,Aenean sit amet justo.,5,2,13
